date,lambda_t,u_t,mkt_vol,rtA3Y
198511.0,0.5386104041236937,-0.043478,0.006013190047720095,0.413170970280224
198512.0,0.5128213187074544,-0.047619,0.00670046315385664,0.3833782451793324
198601.0,0.48560874745702753,-0.045455,0.00793546257459055,0.46046456390078605
198602.0,0.5126361491721212,-0.044444,0.00639381050622191,0.3393475675464446
198603.0,0.48093760520744544,-0.045455,0.006566136759922079,0.2981435989663297
198604.0,0.47525544017711024,-0.047619,0.008999939211915924,0.3715626672005867
198605.0,0.48987586470104927,-0.043478,0.006788875827410603,0.3565385410793285
198606.0,0.4722812321681023,-0.046732999999999976,0.006874850952496906,0.33099253229385295
198607.0,0.4024482390116307,-0.05814,0.009776869249314006,0.5246722581352896
198608.0,0.4717643348865803,-0.04878,0.006543770680141971,0.4616694849934695
198609.0,0.4125747433989801,-0.059587199999999944,0.012659938531408737,0.5847428237769274
198610.0,0.48462920792435665,-0.046688699999999965,0.005404197478932867,0.46605003329119743
198611.0,0.46074686642399654,-0.050847,0.007902791891743737,0.4699827313204925
198612.0,0.48067289040830247,-0.052632,0.006436989746768283,0.5374431066627812
198701.0,0.4458108962994493,-0.04726864999999999,0.010256540823624049,0.266856967247846
198702.0,0.4631101142563585,-0.045455,0.007594369798184636,0.22693591322621165
198703.0,0.44085571378847566,-0.048387,0.008022930599792755,0.2275160225023043
198704.0,0.4190444078657719,-0.052632,0.012050856426787587,0.2134214986285623
198705.0,0.41677735236241203,-0.04918,0.009235693961473605,0.31460243135327115
198706.0,0.46599740627366265,-0.045455,0.005458679548122504,0.25433242149810686
198707.0,0.46189084845951084,-0.045455,0.005073056183944206,0.18990213177092863
198708.0,0.4433727476732702,-0.047059,0.007893212207484413,0.04184513492762898
198709.0,0.44843107231747853,-0.05,0.00901184674800475,0.0066593603756690545
198710.0,0.3506693377844089,-0.13598829999999995,0.049298545717993456,0.28327792046402656
198711.0,0.4033794170185563,-0.081081,0.016298543502411496,0.4741855128994421
198712.0,0.4503298293707155,-0.076923,0.015080432631845692,0.41797269011123506
198801.0,0.4153038105504238,-0.06407209999999998,0.01804438366362232,0.42368325748052516
198802.0,0.4748108928256405,-0.055556,0.008067904411927548,0.45638479857097636
198803.0,0.450938712587751,-0.053571,0.007106792054390492,0.5237983649771365
198804.0,0.44408334568953617,-0.055556,0.010797957987508561,0.5122198287857336
198805.0,0.4391912898580191,-0.054945,0.008896217989899388,0.573119943336307
198806.0,0.47920217107303875,-0.04878,0.008329520811820175,0.4302676295377461
198807.0,0.4820764534259777,-0.05,0.007383897554814801,0.50814132267841
198808.0,0.47911492536486416,-0.052632,0.006594975511705862,0.5931889158939763
198809.0,0.5015969230314204,-0.05,0.0060354339016306345,0.5191778037747408
198810.0,0.4870453320845434,-0.051724,0.006889755479799597,0.5194793567881808
198811.0,0.49756665891158036,-0.057143,0.006806552823076696,0.4872232732311905
198812.0,0.5317123175514434,-0.052632,0.004131114769416996,0.6120641451900626
198901.0,0.5049522708700442,-0.047619,0.005744564760337747,0.5103519296249248
198902.0,0.495666200250681,-0.05,0.006400343461178676,0.556108210847825
198903.0,0.4926288471066086,-0.05,0.006503633316707041,0.48730500052272263
198904.0,0.5222551796133827,-0.048387,0.005392879374694006,0.43793707712287144
198905.0,0.5112621205890022,-0.047619,0.005639146103154916,0.3923793075348081
198906.0,0.487721083561197,-0.05,0.0068741967034833835,0.3722284079794518
198907.0,0.5106037041910394,-0.047619,0.005909545769346406,0.3248010649224897
